Not_Found_Term,Found_Term,Similarity,Count
irritatie fibroom,contaminatie,0.9192794561386108,17
ip positief,hpv negatief,0.9348341822624208,17
plaveiselcelcarcinoma,plaveiselcelcarcinoom,0.9867451786994934,17
naald biopt,biopten,0.9450512528419496,17
chronische lymfatische leucaemie,chronische lymfatische leukemie,0.9620214104652404,17
multiorgaan falen,multi orgaan falen,0.9565892815589904,17
infarct litteken,infarctlitteken,0.969905436038971,17
gastro-intestinale stromatumor,gastrointestinale stromaceltumor,0.9847744703292848,17
morfea,pecoma,0.9451614618301392,17
pyelonephritis,pyelonephritis acuta,0.9828214645385742,16
boven been,beenvenen,0.8973309397697449,16
ischaemisch infarct,anaemisch infarct,0.9746132493019104,16
caverneus haemangioom,bulleus longemfyseem,0.9495049715042114,16
lymfklier paraaortaal,lymfklier para aortaal,0.9794678688049316,16
grootcellig neuro-endocrien carcinoom,grootcellig neuroendocrien carcinoom,0.9878111481666564,16
neuro-endocriene tumor graad 1,neuroendocriene tumor graad 1,0.9868522882461548,16
adenoma,tubular adenoma,0.9365049600601196,16
aktinische keratose,seborroische keratose,0.9492043256759644,16
pigmentincontinentie,pigmentdepositie,0.9358786344528198,16
copd,milt,0.915643572807312,16
maligne lymfoom centroblastair,metastase maligne ameloblastoom,0.9626359939575196,16
grawitz-tumor,burkitt tumor,0.9302451014518738,16
haemangioma,abnormaal,0.9419836401939392,15
peri-anaal,huid perianaal,0.9147523641586304,15
ebv,brocq,0.915775179862976,15
chronische myelomonocyten leukemie,chronische myelomonocytenleukemie,0.9797831177711488,15
artherosclerose,atherosclerose,0.950853705406189,15
2keer,endm,0.9016586542129515,15
fibroma,fibrine,0.9470266103744508,15
mohsresectie,maagresectie,0.9724677801132202,15
gliosis,peliosis,0.96991765499115,14
neuro-endocrien carcinoom,neuroendocrien carcinoom,0.9808353185653688,14
ductus carcinoma infiltrerend,ductuscarcinoom infiltrerend,0.976474940776825,14
metastase grawitz tumor,metastase dooierzak tumor,0.9622899889945984,14
cirrhosis,hypertrichosis,0.943651020526886,14
calcinosis,carcinosis,0.9831960201263428,14
cin3,cco3,0.9578192830085754,14
adhaesie,adhesie,0.915251851081848,14
frontotemporale dementie,essentiele trombocytemie,0.9486533403396606,14
haemochromatose,chondromatose,0.966411590576172,13
geen afwijkingen.,zonder afwijking,0.9356035590171814,13
barrett oesofagitis,barrett oesofagus,0.9599182605743408,13
rheumatoide arthritis,arthritis rheumatica,0.939939260482788,13
multipele localisaties,multipele lokalisaties,0.8952937126159668,13
pap5,ccp6,0.954301118850708,13
geneesmiddel effect,geneesmiddeleffect,0.937113642692566,13
haemorrhagische gastritis,atrofische gastritis,0.9605203866958618,13
arterie pulmonalis,arteria pulmonalis atresie,0.9778885841369628,13
oesophagusslijmvlies,nasopharynxslijmvlies,0.9659988880157472,13
omphalocele,ecchymose,0.966602861881256,13
haemosiderose,choreoathetose,0.961372137069702,13
melanoma,melanoderma,0.9811722040176392,13
infiltrerend ductus carcinoom,infiltrerend ductuscarcinoom,0.9864014387130736,13
metastase infiltrerend ductaalcarcinoom,metastase infiltrerend ductaal carcinoom,0.989668071269989,13
aspergillosis,adiponecrosis,0.9505544900894164,13
aorta klep,rijp teratoom,0.9404829144477844,12
cin1,cca0,0.9518861174583436,12
ductaalcarcinoom infiltrerend,ductaal carcinoom infiltrerend,0.9787936210632324,12
her2-neu negatief,her2neu negatief,0.9805439114570618,12
urotheelcel carcinoom,urotheelcelcarcinoom,0.9718309044837952,12
dermatofibroma,ureterostomie,0.9628556966781616,12
basaalcel carcinoom superficieel type,basaalcelcarcinoom superficieel type,0.9797773957252502,12
capillair haemangioom,haemangioma capillare,0.95513516664505,12
acute myeloide leucaemie,myocardium ventrikel,0.94996839761734,12
lobulair carcinoom in situ,lobulair carcinoma in situ,0.9839428663253784,12
aterosclerose,otosclerose,0.960166037082672,12
atheromatose,atheromatosis,0.9139428734779358,12
basaal cel carcinoom,lobulair en ductaal carcinoom,0.9616993069648744,12
glomerulosclerosis,fibrosclerosis,0.968614101409912,12
barrett oesophagus,barrett oesophagitis,0.9504095315933228,12
cis,colon,0.9295745491981506,11
haemorrhagische ontsteking,flegmoneuze ontsteking,0.9667675495147704,11
myofibrosis,myofibrosis cordis,0.9535601735115052,11
keratoacanthoma,cholesteatoom,0.9385490417480468,11
placentainsufficientie,leverinsufficientie,0.9727655053138732,11
lichenoide keratosis,lichenoide keratosis benigne,0.9784623980522156,11
neurofibroma,neurofibroom,0.9790383577346802,11
sarcoidosis,panmyelosis,0.961055338382721,11
hematopericard,hidradenocarcinoom,0.9517915844917296,11
anaemie,anemie,0.9509353637695312,11
metastase neuro-endocriene tumor,metastase neuroendocriene tumor,0.986538290977478,11
operatie verandering,vettige verandering,0.8999068737030029,11
streng ileus,navelvene,0.94286447763443,11
phyllodestumor,adenofibroma phyllodes,0.9634632468223572,11
hooggradig neuro-endocrien carcinoom,hooggradig neuroendocrien carcinoom,0.987188994884491,11
talgklier adenoom,placentair weefsel,0.9526795148849488,11
extramedullaire haematopoese,extramedullaire hemopoese,0.979305386543274,10
gastrointestinale stromacel tumor,gastrointestinale stroma tumor,0.9922446012496948,10
bacteriemie,bacterie,0.951964795589447,10
hydrocele,hydrokele,0.971327543258667,10
geen lokalisatie,een lokalisatie,0.9790403246879578,10
abortus materiaal,necrotisch materiaal,0.9585536122322084,10
infarceringen,vergroeiingen,0.9333841800689696,10
sclerosis,scleritis,0.960335373878479,10
prematuritas,maturitas,0.9505926966667176,10
gastrointestinale stromatumor,gastrointestinale stromaceltumor,0.9943106770515442,10
multiple myeloom,multiple myeloma,0.9511468410491944,10
longbovenkwab,bovenkwab,0.9807112216949464,10
hormoonreceptorbepaling,hormoonreceptor bepaling,0.9790599942207336,10
spoelcellipoom,myxolipoom,0.9569947719573976,10
clear cell acanthoom,clear cell cystadenoom,0.9580825567245485,10
tubulus necrose,tubulaire necrose,0.9542831182479858,10
litteken weefsel,verkalkt weefsel,0.9638596773147584,10
multi orgaanfalen,multi orgaan falen,0.97463858127594,10
maligne melanoma,maligne melanoom,0.9615143537521362,10
anencephalie,porencefalie,0.9577631950378418,10
basale cellencarcinoom,basale cellen carcinoom,0.9746409058570862,10
3 maal,maal,0.9119573831558228,10
glioblastoma,glioblastoom,0.973594605922699,10
micronodulaire levercirrhose,neurogene spieratrofie,0.963525891304016,10
cin2,cco2,0.9575338959693908,10
micro-invasief plaveiselcelcarcinoom,plaveiselcelcarcinoom microinvasief,0.984437882900238,9
shaveexcisie,shave excisie,0.94796621799469,9
s,kind,0.8985507488250732,9
primaire biliaire cirrhose,secundaire biliaire cirrose,0.964660108089447,9
combined naevus,combined nevus,0.9354680776596068,9
haemorrhagische necrose,metanefrisch adenofibroom,0.9593343734741212,9
cholestasis,condylomata,0.9534062147140504,9
metastase grootcelligcarcinoom,metastase heldercellig niercelcarcinoom,0.9731385707855223,9
corticobasale degeneratie,fibrinoide degeneratie,0.9642777442932128,9
her-2-neu negatief,her2neu negatief,0.927592158317566,9
circulatie stoornis,lactatie stoornis,0.9635868072509766,9
benigne lichenoide keratosis,lichenoide keratosis benigne,0.9944220781326294,9
onder ooglid,onderste ooglid,0.9636399149894714,9
pap3,pap 3a1,0.9568700790405272,9
overgang cardia oesophagus,overgang cardia oesofagus,0.9638928174972534,9
bethesda2,bethesda 2,0.945116400718689,9
schimmel infectie,schimmelinfectie,0.9326232075691224,9
lymfocytosis,pneumatosis intestinalis,0.9542842507362366,9
linkerventrikel,zegelringcellen,0.9738885164260864,9
sinus ethmoidalis,plexus chorioideus,0.9539917707443236,9
elastosis,elastosis cutis,0.9586355686187744,9
meningioom,meningiosarcoom,0.9618527889251708,9
kiemceltumor,eilandceltumor,0.9673223495483398,9
immuunperoxidase reactie,immuunperoxidase,0.9736979007720948,9
dermoid cyste,dermoid cyst,0.9886070489883424,9
pap1,pap 3a1,0.959646224975586,9
geen tumorlokalisatie,geen tumorlocalisatie,0.9163488149642944,9
brenner-tumor,brenners tumor,0.9549269080162048,9
metastase neuro-endocrien carcinoom,metastase neuroendocrien carcinoom,0.9872130155563354,9
geneesmiddelen effect,geneesmiddeleneffect,0.9524277448654176,9
thrombotische thrombocytopenische purpura,trombotische trombocytopenische purpura,0.9742885828018188,8
anthracosilicosis,panmyelophtise,0.9637359976768494,8
ziekte van parkinson,syndroom van potter,0.9186964631080629,8
nsip,ikc,0.938598096370697,8
maag cardia,cardia maag,0.9669140577316284,8
cytomegalievirus,cytomegalie virus,0.9636338949203492,8
tracheostoma,tracheobronchitis,0.9403533339500428,8
fundusklierpoliep,fundusklier poliep,0.9683647751808168,8
creutzfeldt jacob,creutzfeldt jakob,0.976337194442749,8
le,des,0.9634069800376892,8
reaktief,handgewricht,0.9445167779922484,8
oesophagus ,hypomelanose,0.9326083660125732,8
dikkedarm,sikkelcel,0.9407214522361756,8
cholangiocarcinoma,cholangiocarcinoom,0.9800515174865724,8
spitznaevus,nierhilus,0.9443820118904114,8
maligne b-cellymfoom,lymfoide poliep,0.9458997249603271,8
emphysema,amoebiasis,0.9505897760391236,8
carcinoom metastase,metastase carcinoom,0.9927026629447936,8
metastase ductus carcinoma infiltrerend,metastase ductuscarcinoom infiltrerend,0.9825331568717957,8
ischaemie.,toxaemie,0.9524110555648804,8
1maal,igm,0.9168528318405152,8
elektronenmicroscopie,myxoliposarcoom,0.9524413347244264,8
oesophagus varices,oesofagus varices,0.9462536573410034,8
colloidcarcinoom,lipoidcarcinoom,0.9836679697036744,8
arterosclerose,coronairsclerose,0.959183156490326,8
her2 neu negatief,her2neu negatief,0.9822730422019958,8
haemorrhoid,hemochromatose,0.9591923356056212,8
brenner tumor,brenners tumor,0.9888138771057128,8
mitralis klep,bijholten neus,0.9532607793807985,8
aritmogene rechter ventrikeldysplasie,aritmogene rechterventrikeldysplasie,0.9832056164741516,7
plasmocytosis,pleocytosis,0.977985978126526,7
mitralis insufficientie,renale insufficientie,0.9536190629005432,7
geen lokalisatie opgegeven,congenitaal verkeerde positie,0.9620741605758668,7
bethesda1,bethesda 1,0.9448688626289368,7
hemolytisch uremisch syndroom,necrolytisch migratoir erytheem,0.9683861136436462,7
punktie,gangreen,0.9071068167686462,7
bijkomende bevindingen,afwijkende cellen,0.9647423028945924,7
dikkedarmslijmvlies,pharynxslijmvlies,0.973279595375061,7
bloedingen,streng,0.9482558965682985,7
hydrocefalus,hydrocephalus,0.954970359802246,7
endometriose cyste,endometrioide cyste,0.9791428446769714,7
pap4,ccp3,0.9573094844818116,7
virus infectie,virusinfectie,0.946845293045044,7
petechie,petechiae,0.9556825160980223,7
operatieeffect,operatieverandering,0.9254906177520752,7
metastase urotheelcel carcinoom,metastase urotheelcelcarcinoom,0.98626047372818,7
tbc,ikc,0.930834949016571,7
aplastische anaemie,aplastische anemie,0.9843372106552124,7
arterio veneuze malformatie,arterioveneuze varix,0.9534236192703248,7
osteoporosis,acrocyanosis,0.9766546487808228,7
reusceltumor van peesschede,subcutis behaarde hoofd,0.9569356441497804,7
warty dyskeratoom,warty dyskeratoma,0.9729330539703368,7
lichaamsvreemdmateriaal,cerebrospinaalvocht,0.9629485607147216,7
glioblastoom multiforme,glioblastoma multiforme,0.9902833700180054,7
lipomatosis,uterus myomatosis,0.957804262638092,7
multisysteematrofie,osteodystrofie,0.9533148407936096,7
arthrose,bekkenholte,0.9368088245391846,7
extramedullaire hematopoiese,hematopoiesis extramedullary,0.9630130529403688,7
lichen sclerose,lichen ruber,0.9314112067222596,7
non hodgkinlymfoom,tweelobbige milt,0.9470583200454712,7
granulairceltumor,granulosaceltumor,0.979370653629303,7
ga,mu,0.9528976678848268,7
angio-immunoblastair t-cellymfoom,angioimmunoblastair t cel lymfoom,0.9693905711174012,7
oestrogeenreceptor bepaling positief,oestrogeenreceptorbepaling positief,0.9928250908851624,7
micronodulaire cirrhose,micronodulair thymoom,0.96002995967865,7
glandulaparotis,glandula paraurethralis,0.9703627824783324,7
hairy cel leukemie,hairycel leukemie,0.9292545914649964,7
achterwandinfarct,hechtingsgranuloom,0.9740332365036012,7
voornaamste pathologiebevinding,voornaamste pathologie bevinding,0.9802661538124084,7
monoklonale gammopathie,vlokatrofie duodenum,0.9656429886817932,7
eczema,ischemie,0.9332125186920166,7
haemorragie,hemorragie,0.9597561955451964,7
stereotactische biopsie,stereotaktische biopsie,0.9705265760421752,7
spermatocele,spermatokele,0.973785161972046,7
asthma,diabetes,0.959395945072174,7
maligne lymfoom centrocytair,metastase maligne lymfoom,0.9701415300369264,7
methyleringsonderzoek,gedissemineerde ontsteking,0.9238647818565368,6
morphaea,morphea,0.9870779514312744,6
naald biopsie,biopsie naald,0.9724667072296144,6
amyotrofische lateraal sclerose,gedifferentieerd teratoom,0.9689476490020752,6
maligne lymfoom t cel type,maligne b cel lymfoom,0.94978129863739,6
b cellymfoom,lymfocyt,0.9247508645057678,6
spitz nevus,spitz naevus,0.9495830535888672,6
kd,k d,0.954259157180786,6
herpes simplexvirus,herpes simplex virus,0.9476041197776794,6
fibro-epitheliaal papilloom,fibroepitheliaal papilloom,0.9838392734527588,6
haematoma,haematometra,0.9728701710700988,6
pneumokok,kattekrabziekte,0.9424260854721068,6
doorgroeitumor,intussusceptie,0.9533193111419678,6
kaposisarcoom,hemangiosarcoom,0.9763712882995604,6
boven arm,spieren arm,0.9175567626953124,6
coronair vaten,capillair,0.941974401473999,6
urether,kartagener,0.9295349717140198,6
mucinosis,carcinosis,0.9802703857421876,6
glanspenis,pyelitis,0.9314818978309632,6
intravasculair grootcellig b-cellymfoom,intravasculair grootcellig b cel lymfoom,0.980294704437256,6
pheochromocytoom,feochromocytoom,0.9803416728973388,6
vin3,vin iii,0.941720962524414,6
vagina top,vagina,0.9312278032302856,6
verruca seborroica,verruca senilis,0.9576019048690796,6
chronische myeloide leucaemie,chronische salpingo ooforitis,0.9576023817062378,6
leiomyosarcoma,leiomyosarcoom,0.9812257289886476,6
obdcutie,submentaal,0.9568270444869996,6
maligne lymfoom centroblastair centrocytair,ml centroblastair centrocytair folliculair le,0.9855996370315552,6
anthracosilicose,corticosteroiden,0.9641329050064088,6
phaeochromocytoom,feochromocytoom,0.957643747329712,6
infarkt,infarcten,0.9295733571052552,6
barrett syndroom,gardner syndroom,0.9740720987319946,6
encephalomalacie,encefalomalacie,0.9669840931892396,6
atrium septum defect,premaligne tumor,0.893872082233429,6
papilloma,papillomata,0.9724721908569336,6
perifeer t-cellymfoom,metastase invasief carcinoom nst,0.9362726211547852,6
peri-appendicitis,etterige appendicitis,0.9553059935569764,6
humaan papillomavirus,humaan papilloma virus,0.9612367153167723,6
clear cell carcinoom,glassy cell carcinoom,0.9542579650878906,6
disease',cancer,0.8737338781356812,6
sektie,pyaemie,0.9332445859909058,6
maligne lymfoom b cel type,ml lymfoblastair t cel type,0.9615227580070496,6
stasisdermatitis,stralingsdermatitis,0.9828680157661438,6
myocard hypertrofie,myeloide hyperplasie,0.9540445804595948,6
basaalcelcarcinoom superficieeltype,pseudoglandulair plaveiselcelcarcinoom,0.9613471031188964,6
mesencefalon,mesonefrosrest,0.9787737131118774,6
2-maal,b cel,0.8692452907562256,6
consult tbv derden concordant,consult voor derden concordant,0.9582732915878296,6
auto-immuun ziekte,autoimmuun ziekte,0.971462905406952,6
onder arm,spier hand,0.9130228757858276,6
uip,ikc,0.932762324810028,6
4maal,metatarsale 4,0.8984391689300537,6
para-iliacaal,iliacaal,0.9602850675582886,6
sessiel serrated laesie,sessiel serrated lesie,0.9823211431503296,6
inverted folliculaire keratosis,cysteuze glandulaire hyperplasie,0.9587258100509644,6
streptokok,wervelkolom,0.951928734779358,6
haemorrhagische cystitis,hyperplasie erytropoiese,0.9536389112472534,6
muco-epidermoidcarcinoom,mucoid epidermoid carcinoom,0.9781975746154784,6
metastase grootcellig neuro-endocrien carcinoom,metastase grootcellig neuroendocrien carcinoom,0.9919159412384032,6
alcoholische levercirrhose,alcoholische levercirrose,0.9579609632492064,6
regressieve veranderingen,navelstrengarterie,0.9387487769126892,6
melkgang carcinoom,melkgangcarcinoom,0.9715853333473206,6
lis excisie,excisie,0.945903778076172,6
ductaal carcinoma infiltrerend,ductaal carcinoom infiltrerend,0.988715887069702,5
pilomatrixoma,cholelithiasis,0.954921305179596,5
fibroepithelioma,sebaceous epithelioma,0.963671624660492,5
punctie klinikus,chorionvlok necrose,0.9050960540771484,5
mesenteriaal thrombose,necrotiserende bronchopneumonie,0.9652230739593506,5
atriumfibrilleren,beademingseffecten,0.949194073677063,5
metastase plaveiselcel carcinoom,metastase spoelcel carcinoom,0.9886853098869324,5
retentiecyste,reciduaalcyste,0.9282934069633484,5
if negatief,afstoting acuut,0.8924421072006226,5
hemorrhagisch infarct,anaemisch infarct,0.9565481543540956,5
ip ,ec,0.9395056366920472,5
schildwachter klier procedure,schildwachterklier procedure,0.9883929491043092,5
ruptuur in myocardinfarct,ruptuur in aneurysma,0.9655434489250184,5
granulatie weefsel,perianaal weefsel,0.9485591650009156,5
thrombo embolie,metabole dood,0.9384657740592957,5
fibro-epithelioom,fibroepithelioom,0.9666869640350342,5
meso colon,tubae,0.929025173187256,5
superficial spreading melanoom,superficial spreading melanoma,0.9758192300796508,5
endometrium poliep,endometrium secretiefase,0.9667735695838928,5
ischaemie ,toxaemie,0.9656479954719543,5
plaveiselcelcarcinoom in situ,plaveiselcelcarcinoma in situ,0.9872757196426392,5
arterio sclerose,sulcus gingivalis,0.9391142129898072,5
aangeboren afwijkingen,zonder kenmerkende afwijking,0.9532866477966307,5
pleiomorfadenoom,pleiomorf sarcoom,0.9656863808631896,5
pneumatosis,pleocytosis,0.9643352031707764,5
diffuus grootcellig bcellymfoom,angioimmunoblastair t cel lymfoom,0.9595715403556824,5
metastase hooggradig neuro-endocrien carcinoom,metastase hooggradig neuroendocrien carcinoom,0.9904683232307434,5
encephalocele,colliquatienecrose,0.9626576900482178,5
sikkelcelanaemie,psammoom lichaampjes,0.9625730514526368,5
aortabifurcatieprothese,xanthoendothelioom,0.9681389331817628,5
cholesterol embolus,cholesterolembolus,0.9621205925941468,5
mamma reductie,reductie mamma,0.9781513810157776,5
essentiele thrombocytemie,essentiele trombocytemie,0.9835591316223145,5
basaalcelcarcinoom morphaeatype,pseudovasculair plaveiselcelcarcinoom,0.968406856060028,5
hpv,pcr,0.922247588634491,5
halonaevus,neuronaevus,0.9520329236984252,5
boven ooglid,bovenste ooglid,0.9689370393753052,5
