Term|Code|Preferred|PreferredTerm|Kind
abnormale plaveiselcellen|M01000M01060|V|abnormale plaveiselcellen|6
abortus|F31600|V|abortus|2
abortus arte provocatus|F31670||abortus provocatus|2
abortus completus|F31610||complete abortus|2
abortus incompletus|F31630||incomplete abortus|2
abortus provocatus|F31670|V|abortus provocatus|2
abortus therapeutisch|F31730|V|abortus therapeutisch|2
abortus van ectopische graviditeit|M28070||extra-uteriene graviditeit|2
abortusmateriaal|F31600||abortus|2
abortusrest|F31600||abortus|2
abruptio placentae|T88000M29360|V|abruptio placentae|2
acanthocytose|M78210|V|acanthocytose|2
acantholyse|M51570|V|acantholyse|2
acantholysis|M51570||acantholyse|2
acantholytisch acanthoom|M72540|V|acantholytisch acanthoom|2
acantholytisch plaveiselcelcarcinoom|M80753|V|acantholytisch plaveiselcelcarcinoom|2
acanthose|M72710|V|acanthose|2
acanthosis nigricans|M57330|V|acanthosis nigricans|2
acardiacus|M28750||acardius|2
acardius|M28750|V|acardius|2
accessoir orgaan|M22300||extra aangelegd orgaan|2
accessoire borstklier|M22300T04000|V|accessoire borstklier|6
accessoire speekselklier|T55400||kleine speekselklier|0
accessoire structuur|M22300||extra aangelegd orgaan|2
accessoire tepel|M22320T04100|V|accessoire tepel|2
accessory cell sarcoom|M88073|V|accessory cell sarcoom|2
accessory structure|M22300||extra aangelegd orgaan|2
acetabulum|T11390|V|acetabulum|0
achalasie|F61030|V|achalasie|2
achillespees|T17860|V|achillespees|0
achondroplasie|M22410|V|achondroplasie|2
achondroplastische dwerggroei|M70140|V|achondroplastische dwerggroei|2
achterhoofd|TY0140|V|achterhoofd|0
achterstand in groei|M70110||groeiachterstand|2
achterste mediastinum|TY2340|V|achterste mediastinum|0
achterste schedelgroeve|TY0450|V|achterste schedelgroeve|0
achterstreng|TX0080|V|achterstreng|0
achterwand infarct|T33430M54700|V|achterwand infarct|2
achterwortel|TX7560|V|achterwortel|0
acidose|F10303|V|acidose|2
acinair adenocarcinoom|M85513|V|acinair adenocarcinoom|2
acinaircel carcinoom|M85503|V|acinaircel carcinoom|2
acinaircel cystadenoom|M85510|V|acinaircel cystadenoom|2
acinic cell adenocarcinoma|M85513||acinair adenocarcinoom|2
acinuscel carcinoom|M85503||acinaircel carcinoom|2
acne|M46520|V|acne|2
acne agminata|M46640|V|acne agminata|2
acne conglobata|M46550|V|acne conglobata|2
acne rosacea|M49010||rosacea|2
acne vulgaris|M46520||acne|2
acquired immune deficiency syndrome|D46020E38910||aids|2
acquired melanosis|M57201||melanosis|2
acraal fibromyxoom|M92140|V|acraal fibromyxoom|2
acraal melanoom|M87443|V|acraal melanoom|2
acrale naevus|M87440|V|acrale naevus|2
acro-angiodermatitis|M46541||pseudokaposi sarcoom|2
acrochordon|M76810||fibroepitheliale poliep|2
acrocyanosis|M04020||cyanose|2
acrodermatitis chronica atrophicans|M58330|V|acrodermatitis chronica atrophicans|2
acrodermatitis continua|M43550|V|acrodermatitis continua|2
acrodermatitis enteropathica|D62250|V|acrodermatitis enteropathica|2
acrodermatitis papulosa infantum|D35350|V|acrodermatitis papulosa infantum|2
acrodermatitis pustularis|M43520||pustulosis palmaris et plantaris|2
acrokerato-elastoides|M72810|V|acrokerato-elastoides|2
acrokeratosis|T02000M72600||akrokeratose|2
acrokeratosis verruciformis|M72790|V|acrokeratosis verruciformis|2
acrokeratosis verruciformis van hopf|M72790||acrokeratosis verruciformis|2
acrolentigineus melanoma in situ|M87442|V|acrolentigineus melanoma in situ|2
acrolentigineus melanoom|M87443||acraal melanoom|2
acromegalie|M70420|V|acromegalie|2
acromioclaviculair gewricht|T12420|V|acromioclaviculair gewricht|0
actief chronische ontsteking|M42100||actieve chronische ontsteking|2
actieve chronische ontsteking|M42100|V|actieve chronische ontsteking|2
actieve levercirrose|M49500T56000||cirrose|2
actieve ontsteking|M40070|V|actieve ontsteking|2
actinisch granuloom|M11540|V|actinisch granuloom|2
actinisch reticuloid|M11530|V|actinisch reticuloid|2
actinische beschadiging|M50140E93250|V|actinische beschadiging|6
actinische cheilitis|T52000M11560||cheilitis actinica|2
actinische degeneratie|M50140E93250||actinische beschadiging|6
actinische keratose|M72850|V|actinische keratose|2
actinom|E10700||actinomyces|2
actinomyces|E10700|V|actinomyces|2
actinomycose|D01110E10700|V|actinomycose|2
acute abscederende ontsteking|M41405||acute purulente ontsteking|2
acute afstoting|F44110||acute rejectie|2
acute appendicitis|T66000M41000|V|acute appendicitis|6
acute basofiele leukemie|M98703|V|acute basofiele leukemie|2
acute catarrale ontsteking|M41300|V|acute catarrale ontsteking|2
acute cholecystitis|T57000M41000|V|acute cholecystitis|6
acute dermatitis|T01000M41000|V|acute dermatitis|6
acute en chronische ontsteking|M42100||actieve chronische ontsteking|2
acute enterocolitis|T64000T67000M41000|V|acute enterocolitis|6
acute erytroleukemie|M98403|V|acute erytroleukemie|2
acute exsudatieve glomerulonefritis|D67050|V|acute exsudatieve glomerulonefritis|2
acute febriele neutrofiele dermatose|M48511||sweet|2
acute fibrineuze ontsteking|M41500|V|acute fibrineuze ontsteking|2
acute flegmoneuze ontsteking|M41400||flegmoneuze ontsteking|2
acute focale hepatitis|T56000M41101|V|acute focale hepatitis|2
acute gangraeneuze ontsteking|M41700||acute necrotiserende ontsteking|2
acute gangreneuze ontsteking|M41700||acute necrotiserende ontsteking|2
acute glomerulonefritis|D67050||acute exsudatieve glomerulonefritis|2
acute hemorragische ontsteking|M41600|V|acute hemorragische ontsteking|2
acute idiopathische polyneuropathie|D08210||guillain barre|2
acute infarcering|M54720||acuut infarct|2
acute interstitiele nefritis|D68030||acute tubulo-interstitiele nefritis|2
acute interstitiele pneumonie|T28780M41200|V|acute interstitiele pneumonie|2
acute interstitiele rejectie|F44110F44340|V|acute interstitiele rejectie|6
acute leukemie|M98013||acute ongedifferentieerde leukemie|2
acute leukemie met onduidelijke lineage|M98503|V|acute leukemie met onduidelijke lineage|2
acute megakaryoblastenleukemie|M99103|V|acute megakaryoblastenleukemie|2
acute membraneuze ontsteking|M41540|V|acute membraneuze ontsteking|2
acute monoblastenleukemie|M98913|V|acute monoblastenleukemie|2
acute monocytenleukemie|M98913||acute monoblastenleukemie|2
acute myeloblastenleukemie|M98723||acute myeloide leukemie|2
acute myelofibrose|M99313||acute panmyelose met myelofibrose|2
acute myeloide leukemie|M98723|V|acute myeloide leukemie|2
acute myeloide leukemie fab m-5a|M98913||acute monoblastenleukemie|2
acute myeloide leukemie met uitrijping|M98743|V|acute myeloide leukemie met uitrijping|2
acute myeloide leukemie zonder uitrijping|M98733|V|acute myeloide leukemie zonder uitrijping|2
acute myelomonoblastenleukemie|M98913||acute monoblastenleukemie|2
acute myelomonocytenleukemie|M98673|V|acute myelomonocytenleukemie|2
acute necrotiserende ontsteking|M41700|V|acute necrotiserende ontsteking|2
acute ongedifferentieerde leukemie|M98013|V|acute ongedifferentieerde leukemie|2
acute ontsteking|M41000|V|acute ontsteking|2
acute ontsteking met necrose|M41700||acute necrotiserende ontsteking|2
acute ontstekingsreactie|M41000||acute ontsteking|2
acute panmyelose|M99313||acute panmyelose met myelofibrose|2
acute panmyelose met myelofibrose|M99313|V|acute panmyelose met myelofibrose|2
acute panniculitis|T03000M41000|V|acute panniculitis|6
acute poststreptococcen glomerulonefritis|D67051||postinfectieuze glomerulonefritis|2
acute promyelocytenleukemie|M98663|V|acute promyelocytenleukemie|2
acute prostatitis|T77100M41000|V|acute prostatitis|6
acute purulente ontsteking|M41405|V|acute purulente ontsteking|2
acute pyelonefritis|T71000M41020|V|acute pyelonefritis|2
acute rejectie|F44110|V|acute rejectie|2
acute stuwing|M36111|V|acute stuwing|2
acute tubulo-interstitiele nefritis|D68030|V|acute tubulo-interstitiele nefritis|2
acute tubulusnecrose|D68150|V|acute tubulusnecrose|2
acute ulcererende ontsteking|M41030|V|acute ulcererende ontsteking|2
acute vasculaire rejectie|F44110F44320|V|acute vasculaire rejectie|6
acuut eczeem|T01000M41000||acute dermatitis|6
acuut emfyseem|M32801|V|acuut emfyseem|2
acuut flegmoneus ontstekingsproces|M41400||flegmoneuze ontsteking|2
acuut infarct|M54720|V|acuut infarct|2
acuut phlegmoneus ontstekingsproces|M41400||flegmoneuze ontsteking|2
acuut respiratoir distress syndroom|D77050|V|acuut respiratoir distress syndroom|2
acuut reuma|D38400|V|acuut reuma|2
acuut ulcus|M41030||acute ulcererende ontsteking|2
adamantinomateus craniofaryngioom|M93511|V|adamantinomateus craniofaryngioom|2
adamantinoom van de lange pijpbeenderen|M92613|V|adamantinoom van de lange pijpbeenderen|2
adc.i.s|M81402||adenocarcinoma in situ|2
adca.|M81403||adenocarcinoom|2
addison|D23320|V|addison|2
adenoacanthoom|M85723|V|adenoacanthoom|2
adenocarcinoma in situ|M81402|V|adenocarcinoma in situ|2
adenocarcinoom|M81403|V|adenocarcinoom|2
adenocarcinoom gastrisch type|M84823|V|adenocarcinoom gastrisch type|2
adenocarcinoom in adenomateuze poliep|M82103|V|adenocarcinoom in adenomateuze poliep|2
adenocarcinoom in polypose|M82203|V|adenocarcinoom in polypose|2
adenocarcinoom laaggradig polymorf kleine speekselklier|M85223||polymorf adenocarcinoom|2
adenocarcinoom met squameuze metaplasie|M85723||adenoacanthoom|2
adenocarcinoom rete ovarii|M91103||mesonefrisch adenocarcinoom|2
adenocarcinoom van anogenitale mammary-like glands|M85163|V|adenocarcinoom van anogenitale mammary-like glands|2
adenocysteus carcinoom|M82003||adenoid cysteus carcinoom|2
adenofibromyomateuze hyperplasie|M72450|V|adenofibromyomateuze hyperplasie|2
adenofibroom|M90100||fibroadenoom|2
adenofibrose|M74230|V|adenofibrose|2
adenoid|T61300|V|adenoid|0
adenoid basaalcelcarcinoom|M80983||basalioom adenoide type|2
adenoid cysteus carcinoom|M82003|V|adenoid cysteus carcinoom|2
adenoid cystisch carcinoom|M82003||adenoid cysteus carcinoom|2
adenoid plaveiselcelcarcinoom|M80753||acantholytisch plaveiselcelcarcinoom|2
adenoid uiterlijk|M70910|V|adenoid uiterlijk|2
adenoid weefsel|T61300||adenoid|0
adenolipoom|M83240|V|adenolipoom|2
adenolymfoom|M85610||warthin tumor|2
adenoma malignum|M84823||adenocarcinoom gastrisch type|2
adenoma sebaceum|M84100||talgklieradenoom|2
adenoma-like adenocarcinoom|M82623|V|adenoma-like adenocarcinoom|2
adenomateus struma|T96000M72030||nodulair struma|6
adenomateuze hyperplasie|M72420||glandulaire hyperplasie|2
adenomateuze poliep|M82100|V|adenomateuze poliep|2
adenomateuze polyposis coli|M82200|V|adenomateuze polyposis coli|2
adenomatoide hyperplasie|M72420||glandulaire hyperplasie|2
adenomatoide odontogene tumor|M93000|V|adenomatoide odontogene tumor|2
adenomatoide tumor|M90540|V|adenomatoide tumor|2
adenomonofosfaat deaminase deficientie|F20144|V|adenomonofosfaat deaminase deficientie|2
adenomyoepithelioom|M89830|V|adenomyoepithelioom|2
adenomyomateuze hyperplasie|M72440|V|adenomyomateuze hyperplasie|2
adenomyomateuze poliep|T84000M76800M88900|V|adenomyomateuze poliep|6
adenomyoom|M90130|V|adenomyoom|2
adenomyose|M76510|V|adenomyose|2
adenoom|M81400|V|adenoom|2
adenoom bijnierschors|T93100M83700||bijnierschorsadenoom|2
adenoom rete ovarii|M91100|V|adenoom rete ovarii|2
adenoom tepel|M85060||tepel adenoom|2
adenopapillair carcinoom|M82603||papillair adenocarcinoom|2
adenosarcoom|M89333|V|adenosarcoom|2
adenose|M74200|V|adenose|2
adenosis|M74200||adenose|2
adenosquameus carcinoom|M85603|V|adenosquameus carcinoom|2
adenovirus|E30100|V|adenovirus|2
ader|T48000||vene|0
adhaesio|M49400||adhesie|2
adhesie|M49400|V|adhesie|2
adiponecrosis|M54110||vetnecrose|2
adipositas|M71800|V|adipositas|2
adnex|T86100T87000|V|adnex|6
adrenalrest tumor|M86710|V|adrenalrest tumor|2
adrenogenitaal syndroom|D23060|V|adrenogenitaal syndroom|2
adrenoleukodystrofie|D88730|V|adrenoleukodystrofie|2
adriamycine|E83800|V|adriamycine|2
adult respiratory distress syndrome|D77090||diffuse alveolaire schade|2
adult rhabdomyoom|M89040|V|adult rhabdomyoom|2
adulte granulosaceltumor|M86221|V|adulte granulosaceltumor|2
adventitia|T41030|V|adventitia|0
adventitia aortae|T42040|V|adventitia aortae|0
afasie|F86000|V|afasie|2
afgietsel|M33010|V|afgietsel|2
afibrinogenemie|D44210|V|afibrinogenemie|2
afmeting abnormaal|M02500|V|afmeting abnormaal|2
afscheiding|M36800|V|afscheiding|2
afscheuring|M14400|V|afscheuring|2
afsluitende arteriosclerose|M52010M34000||arteriosclerose met obstructie|2
afsluitende trombose|M35110M34000|V|afsluitende trombose|2
afsluiting|M34000|V|afsluiting|2
afstoting|F44100||rejectie|2
afstoting chronisch|F44200||chronische rejectie|2
afstotingsreactie|F44100||rejectie|2
afte|M46140|V|afte|2
afvoergang speekselklier|T55080|V|afvoergang speekselklier|0
afwezig congenitaal|M21000||agenesie|2
afwezig verworven|M15000|V|afwezig verworven|2
afwijkend|M01000||afwijking|2
afwijkende cellen|M69000||abnormale cellen|2
afwijkende cilia|M67230||afwijkende trilharen|2
afwijkende cytologie classificatie moeilijk|M69153||pap 2|2
afwijkende cytologie niet nader in te delen|M69153||pap 2|2
afwijkende kerngrootte|M65100|V|afwijkende kerngrootte|2
afwijkende trilharen|M67230|V|afwijkende trilharen|2
afwijking|M01000|V|afwijking|2
afwijking van de mitochondrien|M66100||mitochondriale verandering|2
afzetting|M55000||stapeling|2
agammaglobulinaemie|T0X000F47512||hypogammaglobulinemia|2
aganglionair|D62590||hirschsprung|2
aganglionose|D62590||hirschsprung|2
agd|E99998|V|agd|2
agenesie|M21000|V|agenesie|2
agenesis|M21000||agenesie|2
aggressieve blastaire nk-cel leukemie|M97503|V|aggressieve blastaire nk-cel leukemie|2
agranulocytose|M59112|V|agranulocytose|2
agressief angiomyxoom|M88410||diep agressief angiomyxoom|2
agressieve fibromatose|M88211||desmoid type fibromatose|2
aids|D46020E38910|V|aids|2
akrocyanose|M04020||cyanose|2
akrokeratose|T02000M72600|V|akrokeratose|2
alagille|D67580|V|alagille|2
albinisme|D37400|V|albinisme|2
albright bot|D20250||albright's syndrome|2
albright's syndrome|D20250|V|albright's syndrome|2
albumine|P38580|V|albumine|1
alcohol|E55100|V|alcohol|2
alcohol abusus|D87700E55100|V|alcohol abusus|2
alcoholcirrose|M49660T56000||alcoholische cirrose|2
alcoholhepatitis met cirrose|M49660T56000||alcoholische cirrose|2
alcoholische cirrose|M49660T56000|V|alcoholische cirrose|2
alcoholische levercirrose|M49660T56000||alcoholische cirrose|2
alexander|D88220|V|alexander|2
alfa|P38610|V|alfa|1
alfa 1 antitrypsine|F12310|V|alfa 1 antitrypsine|2
alfa 1 antitrypsine deficientie|D10700|V|alfa 1 antitrypsine deficientie|2
alk breuk aanwezig|P37950M00021|V|alk breuk aanwezig|1
alk breuk niet aanwezig|P37950M00022|V|alk breuk niet aanwezig|1
alk breuk niet beoordeelbaar|P37950M00023|V|alk breuk niet beoordeelbaar|1
alk negatief|P38430M00022|V|alk negatief|1
alk positief|P38430M00021|V|alk positief|1
alk positief grootcellig b-cel lymfoom|M96983|V|alk positief grootcellig b-cel lymfoom|2
alkaline fosfatase stoornis|F20262|V|alkaline fosfatase stoornis|2
alkaptonurie|T7X100F11781|V|alkaptonurie|2
allantois|T88840|V|allantois|0
allergie|F42400|V|allergie|2
allergisch|F42400||allergie|2
allergisch eczeem|M47610||allergische contactdermatitis|2
allergische contactdermatitis|M47610|V|allergische contactdermatitis|2
allergische granulomatose|M44780F42400||churg strauss|2
allergische reactie|F42400||allergie|2
allergische rhinitis|D47970F42400|V|allergische rhinitis|2
allergische vasculitis|D48080||leucocytoclastische vasculitis|2
allotransplantatie|P14280|V|allotransplantatie|1
alopecia|M58600|V|alopecia|2
alopecia androgenetica|M58720|V|alopecia androgenetica|2
alopecia areata|M58610|V|alopecia areata|2
alopecia cicatrisata|M58620|V|alopecia cicatrisata|2
alopecia mucinosa|M58790||mucinosis follicularis|2
alpers|D85300|V|alpers|2
alport|D67162|V|alport|2
alstrom|DX4490|V|alstrom|2
aluminium|E51410|V|aluminium|2
aluminium intoxicatie|E51410F01220|V|aluminium intoxicatie|6
alveolair adenoom|M82510|V|alveolair adenoom|2
alveolair carcinoom|M82513|V|alveolair carcinoom|2
alveolair emfyseem|M32840||diffuus emfyseem|2
alveolair epitheel|T28020|V|alveolair epitheel|0
alveolair rabdomyosarcoom|M89203||alveolair rhabdomyosarcoom|2
alveolair rhabdomyosarcoom|M89203|V|alveolair rhabdomyosarcoom|2
alveolair soft part sarcoom|M95813|V|alveolair soft part sarcoom|2
alveolaircel carcinoom|M82503||lepidisch adenocarcinoom|2
alveolaire capillaire dysplasie|T28030M24630|V|alveolaire capillaire dysplasie|2
alveolaire longfibrose|T28010M45000||fibroserende alveolitis|6
alveolaire microlithiasis|T28010M30180|V|alveolaire microlithiasis|6
alveolaire proteinose|M55640|V|alveolaire proteinose|2
alveolairwand|T28030|V|alveolairwand|0
alveolar soft part sarcoma|M95813||alveolair soft part sarcoom|2
alveoli|T28010||alveolus long|0
alveolus|T28010||alveolus long|0
alveolus long|T28010|V|alveolus long|0
alzheimer|D85430|V|alzheimer|2
alzheimer's disease|D85430||alzheimer|2
amalgaam depositie|M55700E51870|V|amalgaam depositie|2
amaurotische idiotie volwassen|D14750||neuronale lipofuscinose|2
amelanotisch melanoom|M87303|V|amelanotisch melanoom|2
amelanotische naevus|M87300|V|amelanotische naevus|2
amelie|M21021||aangeboren afwijking van extremiteit|2
ameloblastair fibroom|M93300|V|ameloblastair fibroom|2
ameloblastair odontoom|M92900|V|ameloblastair odontoom|2
ameloblastisch carcinoom|M92703||maligne odontogene tumor|2
ameloblastisch fibro-odontoom|M92900||ameloblastair odontoom|2
ameloblastisch fibroom|M93300||ameloblastair fibroom|2
ameloblastoom|M93101|V|ameloblastoom|2
amenorroe|F30090|V|amenorroe|2
amficrien carcinoom|M82463|V|amficrien carcinoom|2
amnion|T88290|V|amnion|0
amnion nodosum|M29460|V|amnion nodosum|2
amnion pathologie|M29400|V|amnion pathologie|2
amnion villi|T88860|V|amnion villi|0
amnionholte|T8Y330|V|amnionholte|0
amnionitis|T88290M40000|V|amnionitis|6
amnionstreng|M29470|V|amnionstreng|2
amnionvloeistof|T8Y300||vruchtwater|0
amoeba|E44500||amoebe|2
amoebe|E44500|V|amoebe|2
amoebiasis|D06510E44500|V|amoebiasis|2
ampul van vater|T58700||papil van vater|0
ampulla of vater|T58700||papil van vater|0
ampulla recti|T68100|V|ampulla recti|0
ampulla vateri|T58700||papil van vater|0
amputatie|P11145|V|amputatie|1
amputatieneuroom|M49770||traumatisch neuroom|2
amputatiestomp|M14850|V|amputatiestomp|2
amyelie|TX7410M21000|V|amyelie|6
amygdala|TX3230|V|amygdala|0
amyloid|M55100||amyloidose|2
amyloid angiopathie|D89090|V|amyloid angiopathie|2
amyloid tumor|M55160|V|amyloid tumor|2
amyloidose|M55100|V|amyloidose|2
amyloidose non aa|M55100||amyloidose|2
amyotrofe laterale sclerose|D81410||amyotrofische lateraalsclerose|2
amyotrofische lateraalsclerose|D81410|V|amyotrofische lateraalsclerose|2
anaal gebied|T69200||perianaal|0
anaalkanaal|T69100|V|anaalkanaal|0
anaalklier|T69300|V|anaalklier|0
anaestheticum|E70500|V|anaestheticum|2
anafylactische reactie|D48100|V|anafylactische reactie|2
anafylaxie|D48100||anafylactische reactie|2
anal tag|T69000M76810|V|anal tag|6
analgeticum|E77500|V|analgeticum|2
anaphylactic shock|D48100||anafylactische reactie|2
anaphylaxie|D48100||anafylactische reactie|2
anaplasie|M72005|V|anaplasie|2
anaplastic carcinoma|M80213||anaplastisch carcinoom|2
anaplastisch|M72005||anaplasie|2
anaplastisch astrocytoom|M94013||astrocytoom graad 3|2
anaplastisch carcinoom|M80213|V|anaplastisch carcinoom|2
anaplastisch ependymoom|M93923|V|anaplastisch ependymoom|2
anaplastisch ganglioglioom|M95053|V|anaplastisch ganglioglioom|2
anaplastisch grootcellig carcinoom|M80123||grootcellig carcinoom|2
anaplastisch kleincellig carcinoom|M80413||kleincellig carcinoom|2
anaplastisch meningeoom|M95303|V|anaplastisch meningeoom|2
anaplastisch oligoastrocytoom|M93833|V|anaplastisch oligoastrocytoom|2
anaplastisch oligodendroglioom|M94513||oligodendroglioom graad 3|2
anaplastisch pleiomorf xanthoastrocytoom|M94243||pleiomorf xanthoastrocytoom|2
anaplastisch seminoom|M90623|V|anaplastisch seminoom|2
anasarca|M36550|V|anasarca|2
anastomose na operatie|M18200|V|anastomose na operatie|2
anastomosis|M18200||anastomose na operatie|2
ancient neurofibroom|M95410|V|ancient neurofibroom|2
ancient schwannoom|M95610|V|ancient schwannoom|2
ancylostoma duodenale|E45150|V|ancylostoma duodenale|2
andrews|M43520||pustulosis palmaris et plantaris|2
androblastoom|M86321||gynandroblastoom|2
androgeen hormoon|F26560|V|androgeen hormoon|2
androgeen preparaat|E85400|V|androgeen preparaat|2
androgeen stoornis|F26562|V|androgeen stoornis|2
anemie|D40100|V|anemie|2
anemie van fanconi|D40330|V|anemie van fanconi|2
anencefaal|M21510||anencefalie|2
anencefalie|M21510|V|anencefalie|2
anencephalus|M21510||anencefalie|2
anetoderma|M56860|V|anetoderma|2
anetodermie|M56860||anetoderma|2
aneuploidie|M62100|V|aneuploidie|2
aneurysma|M32400|V|aneurysma|2
aneurysma arterioscleroticum|M32430||atherosclerotisch aneurysma|2
aneurysma cordis|T32000M32400|V|aneurysma cordis|6
aneurysma dissecans|M32470||dissectie bloedvat|2
aneurysma racemosum|M76350|V|aneurysma racemosum|2
aneurysma ruptuur|M32401||gebarsten aneurysma|2
aneurysma spurium|M32590||vals aneurysma|2
aneurysmatische beencyste|M92600||aneurysmatische botcyste|2
aneurysmatische botcyste|M92600|V|aneurysmatische botcyste|2
aneurysmatische verwijding|M32400||aneurysma|2
angiectasie|M76300||teleangiectasie|2
angiocentrisch glioom|M94311|V|angiocentrisch glioom|2
angiodysplasie|M74850|V|angiodysplasie|2
angioendothelioom|M91301||kaposiform hemangioendothelioom|2
angiofibroom|M91600||cellulair angiofibroom|2
angiografie|T41000PX0900|V|angiografie|0
angiohistocytoom|M88330||epithelioid histiocytoom|2
angioimmunoblastair lymfoom|M97053||angioimmunoblastair t-cel lymfoom|2
angioimmunoblastair t-cel lymfoom|M97053|V|angioimmunoblastair t-cel lymfoom|2
angioinvasie|T40000M80053||bloedvatinvasie|2
angiokeratoma circumscriptum|M24620|V|angiokeratoma circumscriptum|2
angiokeratoma corporis diffusum|D14350|V|angiokeratoma corporis diffusum|2
angiokeratoma mibelli|M91410||angiokeratoom|2
angiokeratoom|M91410|V|angiokeratoom|2
angioleiomyoom|M88940|V|angioleiomyoom|2
angiolipoom|M88610|V|angiolipoom|2
angiolymfoide hyperplasie|M91250||epithelioid hemangioom|2
angiolymfoide hyperplasie met eosinofilie|M91250||epithelioid hemangioom|2
angioma serpiginosum|M76360|V|angioma serpiginosum|2
angiomateus meningeoom|M95340|V|angiomateus meningeoom|2
angiomatoid fibreus histiocytoom|M88361|V|angiomatoid fibreus histiocytoom|2
angiomatose|M76310|V|angiomatose|2
angiomatosis|M76310||angiomatose|2
angiomyofibroblastoom|M88260|V|angiomyofibroblastoom|2
angiomyolipoom|M88600|V|angiomyolipoom|2
angiomyoom|M88940||angioleiomyoom|2
angiomyxoom agressief|M88410||diep agressief angiomyxoom|2
angioneurotisch oedeem|D35410|V|angioneurotisch oedeem|2
angioom|M91200||hemangioom|2
angiopathie|T40000D00010|V|angiopathie|2
angiosarcoom|M91203|V|angiosarcoom|2
animal type melanoma|M87613||dermaal hypermelanotisch melanoom|2
anisocytose|M78220|V|anisocytose|2
anisokaryose|M65130|V|anisokaryose|2
anisomelie|M20660|V|anisomelie|2
ankylose|M13510|V|ankylose|2
annulair elastolytisch granuloom|M11540||actinisch granuloom|2
annulus fibrosus aortae|T39010|V|annulus fibrosus aortae|0
annulus fibrosus mitralis|T38010|V|annulus fibrosus mitralis|0
anoftalmie|TXX000M21000|V|anoftalmie|6
anofthalmie|TXX000M21000||anoftalmie|6
anomalie|M01000||afwijking|2
anomalie van ebstein|T36000M24520|V|anomalie van ebstein|2
anomalie van peters|DX2650||peters|2
anorectaal|T69900|V|anorectaal|0
anorexia nervosa|F94800|V|anorexia nervosa|2
anovulatie|T84000M79340||endometrium met tekenen van anovulatoire cyclus|2
anovulatoir veranderd endometrium|T84000M79340||endometrium met tekenen van anovulatoire cyclus|2
anovulatoire bloeding|T84000M79340||endometrium met tekenen van anovulatoire cyclus|2
anovulatoire cyclus|T84000M79340||endometrium met tekenen van anovulatoire cyclus|2
anoxie|F10475|V|anoxie|2
anoxische verandering|M50000F10082|V|anoxische verandering|2
anthelix|TXY120|V|anthelix|0
anti g.b.m. antilichamen|T71230F40200|V|anti g.b.m. antilichamen|2
anti g.b.m. glomerulonefritis|D67410|V|anti g.b.m. glomerulonefritis|2
anti neutrofiele cytoplasmatische antilichamen|T0X160F40200|V|anti neutrofiele cytoplasmatische antilichamen|2
anti t.b.m. nefritis|D67660|V|anti t.b.m. nefritis|2
antibiotic|E72000||antibioticum|2
antibioticum|E72000|V|antibioticum|2
anticonceptivum|E85710|V|anticonceptivum|2
antifosfolipiden trombofilie|D44460|V|antifosfolipiden trombofilie|2
antinucleaire factor|F40590|V|antinucleaire factor|2
antistollingsmiddelen|E84100|V|antistollingsmiddelen|2
